id	direction	physical_keys	expected_action	expected_original	expected_replacement	expected_tier	rule
l2k-ambiguousBothValid-013	latin_to_korean	dufck	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-014	latin_to_korean	duseo	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-015	latin_to_korean	ekfrif	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-016	latin_to_korean	ensnarl	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-017	latin_to_korean	fieldman	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-018	latin_to_korean	for	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-019	latin_to_korean	gladiator	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-020	latin_to_korean	gnarl	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-021	latin_to_korean	gorgosaurus	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-022	latin_to_korean	gotham	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-023	latin_to_korean	guama	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-024	latin_to_korean	guapena	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-025	latin_to_korean	risorial	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-026	latin_to_korean	rue	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-027	latin_to_korean	shriekery	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-028	latin_to_korean	sodydaus	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-029	latin_to_korean	spak	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-030	latin_to_korean	spatial	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-031	latin_to_korean	surgy	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-032	latin_to_korean	surprisement	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-033	latin_to_korean	syzygial	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-034	latin_to_korean	thanan	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-035	latin_to_korean	then	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-036	latin_to_korean	tocharian	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-037	latin_to_korean	vigor	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-038	latin_to_korean	with	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-039	latin_to_korean	wowlf	preserve	-	-	-	ambiguousBothValid
l2k-englishCostMargin-000	latin_to_korean	aiel	correct	aiel	먀디	medium	englishCostMargin
l2k-englishCostMargin-001	latin_to_korean	aksemffuaus	correct	aksemffuaus	만들려면	medium	englishCostMargin
l2k-englishCostMargin-002	latin_to_korean	amah	correct	amah	므모	medium	englishCostMargin
l2k-englishCostMargin-003	latin_to_korean	aogiri	correct	aogiri	매햐갸	medium	englishCostMargin
l2k-englishCostMargin-004	latin_to_korean	aorlrh	correct	aorlrh	매기고	medium	englishCostMargin
l2k-englishCostMargin-005	latin_to_korean	aortitis	correct	aortitis	맥샤샨	medium	englishCostMargin
l2k-englishCostMargin-006	latin_to_korean	aortoclasia	correct	aortoclasia	맥새침냠	medium	englishCostMargin
l2k-englishCostMargin-007	latin_to_korean	aortoclasis	correct	aortoclasis	맥새침냔	medium	englishCostMargin
l2k-englishCostMargin-008	latin_to_korean	apah	correct	apah	메모	medium	englishCostMargin
l2k-englishCostMargin-009	latin_to_korean	coauditor	correct	coauditor	채며야색	medium	englishCostMargin
l2k-englishCostMargin-010	latin_to_korean	coaugment	correct	coaugment	채며흐둣	medium	englishCostMargin
l2k-englishCostMargin-011	latin_to_korean	coeh	correct	coeh	채도	medium	englishCostMargin
l2k-englishCostMargin-012	latin_to_korean	dowieism	correct	dowieism	애쟈댜느	medium	englishCostMargin
l2k-englishCostMargin-013	latin_to_korean	dufeh	correct	dufeh	열도	medium	englishCostMargin
l2k-englishCostMargin-014	latin_to_korean	dydeh	correct	dydeh	용도	medium	englishCostMargin
l2k-englishCostMargin-015	latin_to_korean	emdeh	correct	emdeh	등도	medium	englishCostMargin
l2k-englishCostMargin-016	latin_to_korean	eoan	correct	eoan	대무	medium	englishCostMargin
l2k-englishCostMargin-017	latin_to_korean	eodu	correct	eodu	대여	medium	englishCostMargin
l2k-englishCostMargin-018	latin_to_korean	eoghk	correct	eoghk	대화	medium	englishCostMargin
l2k-englishCostMargin-019	latin_to_korean	eoghkaks	correct	eoghkaks	대화만	medium	englishCostMargin
l2k-englishCostMargin-020	latin_to_korean	eoghksodur	correct	eoghksodur	대화내역	medium	englishCostMargin
l2k-englishCostMargin-021	latin_to_korean	eogkrry	correct	eogkrry	대학교	medium	englishCostMargin
l2k-englishCostMargin-022	latin_to_korean	eogotjaks	correct	eogotjaks	대해서만	medium	englishCostMargin
l2k-englishCostMargin-023	latin_to_korean	eogud	correct	eogud	대형	medium	englishCostMargin
l2k-englishCostMargin-024	latin_to_korean	eorma	correct	eorma	대금	medium	englishCostMargin
l2k-englishCostMargin-025	latin_to_korean	epah	correct	epah	데모	medium	englishCostMargin
l2k-englishCostMargin-026	latin_to_korean	furrowy	correct	furrowy	력개죠	medium	englishCostMargin
l2k-englishCostMargin-027	latin_to_korean	gienah	correct	gienah	햐두모	medium	englishCostMargin
l2k-englishCostMargin-028	latin_to_korean	guaycuru	correct	guaycuru	혀묘쳐겨	medium	englishCostMargin
l2k-englishCostMargin-029	latin_to_korean	rheh	correct	rheh	고도	medium	englishCostMargin
l2k-englishCostMargin-030	latin_to_korean	rocpeh	correct	rocpeh	개체도	medium	englishCostMargin
l2k-englishCostMargin-031	latin_to_korean	ruddneh	correct	ruddneh	경우도	medium	englishCostMargin
l2k-englishCostMargin-032	latin_to_korean	rudeh	correct	rudeh	경도	medium	englishCostMargin
l2k-englishCostMargin-033	latin_to_korean	rywjdeh	correct	rywjdeh	교정도	medium	englishCostMargin
l2k-englishCostMargin-034	latin_to_korean	shawy	correct	shawy	놈죠	medium	englishCostMargin
l2k-englishCostMargin-035	latin_to_korean	surah	correct	surah	녁모	medium	englishCostMargin
l2k-englishCostMargin-036	latin_to_korean	tiao	correct	tiao	샤매	medium	englishCostMargin
l2k-englishCostMargin-037	latin_to_korean	vyaus	correct	vyaus	표면	medium	englishCostMargin
l2k-englishCostMargin-038	latin_to_korean	wotleh	correct	wotleh	재시도	medium	englishCostMargin
l2k-englishCostMargin-039	latin_to_korean	zuaus	correct	zuaus	켜면	medium	englishCostMargin
l2k-koreanStructure-000	latin_to_korean	Qkftls	correct	Qkftls	빨신	high	koreanStructure
l2k-koreanStructure-001	latin_to_korean	Rmxdl	correct	Rmxdl	끝이	high	koreanStructure
l2k-koreanStructure-002	latin_to_korean	ahtgkdu	correct	ahtgkdu	못하여	high	koreanStructure
l2k-koreanStructure-003	latin_to_korean	alswn	correct	alswn	민주	high	koreanStructure
l2k-koreanStructure-004	latin_to_korean	aptlwldp	correct	aptlwldp	메시지에	high	koreanStructure
l2k-koreanStructure-005	latin_to_korean	aufwhd	correct	aufwhd	멸종	high	koreanStructure
l2k-koreanStructure-006	latin_to_korean	chlth	correct	chlth	최소	high	koreanStructure
l2k-koreanStructure-007	latin_to_korean	ckddptjaks	correct	ckddptjaks	창에서만	high	koreanStructure
l2k-koreanStructure-008	latin_to_korean	dhrkslr	correct	dhrkslr	오가닉	high	koreanStructure
l2k-koreanStructure-009	latin_to_korean	dmlgotj	correct	dmlgotj	의해서	high	koreanStructure
l2k-koreanStructure-010	latin_to_korean	eotlsdp	correct	eotlsdp	대신에	high	koreanStructure
l2k-koreanStructure-011	latin_to_korean	ghkdlxld	correct	ghkdlxld	화이팅	high	koreanStructure
l2k-koreanStructure-012	latin_to_korean	ghkrdlsfksdl	correct	ghkrdlsfksdl	확인란이	high	koreanStructure
l2k-koreanStructure-013	latin_to_korean	glqmfldj	correct	glqmfldj	히브리어	high	koreanStructure
l2k-koreanStructure-014	latin_to_korean	qhrhtjsms	correct	qhrhtjsms	보고서는	high	koreanStructure
l2k-koreanStructure-015	latin_to_korean	qhrtkqhsdpaks	correct	qhrtkqhsdpaks	복사본에만	high	koreanStructure
l2k-koreanStructure-016	latin_to_korean	qhsoa	correct	qhsoa	보냄	high	koreanStructure
l2k-koreanStructure-017	latin_to_korean	qkedkdigkqslek	correct	qkedkdigkqslek	받아야합니다	high	koreanStructure
l2k-koreanStructure-018	latin_to_korean	qktmxpfm	correct	qktmxpfm	바스테르	high	koreanStructure
l2k-koreanStructure-019	latin_to_korean	qnstnfmf	correct	qnstnfmf	분수를	high	koreanStructure
l2k-koreanStructure-020	latin_to_korean	rhkswjadptj	correct	rhkswjadptj	관점에서	high	koreanStructure
l2k-koreanStructure-021	latin_to_korean	rmdjTekrk	correct	rmdjTekrk	그었다가	high	koreanStructure
l2k-koreanStructure-022	latin_to_korean	rodlrh	correct	rodlrh	개이고	high	koreanStructure
l2k-koreanStructure-023	latin_to_korean	rotjsgkrh	correct	rotjsgkrh	개선하고	high	koreanStructure
l2k-koreanStructure-024	latin_to_korean	rudrh	correct	rudrh	경고	high	koreanStructure
l2k-koreanStructure-025	latin_to_korean	rufwjd	correct	rufwjd	결정	high	koreanStructure
l2k-koreanStructure-026	latin_to_korean	thflsksms	correct	thflsksms	소리나는	high	koreanStructure
l2k-koreanStructure-027	latin_to_korean	tjfwjdgkrjsk	correct	tjfwjdgkrjsk	설정하거나	high	koreanStructure
l2k-koreanStructure-028	latin_to_korean	tkdgkdl	correct	tkdgkdl	상하이	high	koreanStructure
l2k-koreanStructure-029	latin_to_korean	tkdlemqkfmf	correct	tkdlemqkfmf	사이드바를	high	koreanStructure
l2k-koreanStructure-030	latin_to_korean	tlrkrghkfmf	correct	tlrkrghkfmf	시각화를	high	koreanStructure
l2k-koreanStructure-031	latin_to_korean	tmxmfla	correct	tmxmfla	스트림	high	koreanStructure
l2k-koreanStructure-032	latin_to_korean	wkfahtehldjTrjsk	correct	wkfahtehldjTrjsk	잘못되었거나	high	koreanStructure
l2k-koreanStructure-033	latin_to_korean	wnddygkau	correct	wnddygkau	중요하며	high	koreanStructure
l2k-koreanStructure-034	latin_to_korean	wndeksdmf	correct	wndeksdmf	중단을	high	koreanStructure
l2k-koreanStructure-035	latin_to_korean	wpdlwl	correct	wpdlwl	제이지	high	koreanStructure
l2k-koreanStructure-036	latin_to_korean	xkdns	correct	xkdns	타운	high	koreanStructure
l2k-koreanStructure-037	latin_to_korean	xmrtjd	correct	xmrtjd	특성	high	koreanStructure
l2k-koreanStructure-038	latin_to_korean	zmfkznvm	correct	zmfkznvm	크라쿠프	high	koreanStructure
l2k-koreanStructure-039	latin_to_korean	znjflfmf	correct	znjflfmf	쿼리를	high	koreanStructure
l2k-weakKoreanStructure-000	latin_to_korean	anomaliped	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-001	latin_to_korean	avogadrite	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-002	latin_to_korean	bayogoula	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-003	latin_to_korean	billposting	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-004	latin_to_korean	calambour	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-005	latin_to_korean	costosternal	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-006	latin_to_korean	dartingly	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-007	latin_to_korean	decomposable	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-008	latin_to_korean	deformative	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-009	latin_to_korean	degeneralize	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-010	latin_to_korean	eradication	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-011	latin_to_korean	eremopteris	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-012	latin_to_korean	flow	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-013	latin_to_korean	ganocephala	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-014	latin_to_korean	gentleship	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-015	latin_to_korean	hornotine	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-016	latin_to_korean	indelibly	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-017	latin_to_korean	irisher	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-018	latin_to_korean	leptolepis	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-019	latin_to_korean	mdewakanton	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-020	latin_to_korean	menthone	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-021	latin_to_korean	nodulated	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-022	latin_to_korean	nonreversed	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-023	latin_to_korean	peperino	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-024	latin_to_korean	pink	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-025	latin_to_korean	plagiophyre	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-026	latin_to_korean	pleasureless	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-027	latin_to_korean	pluripartite	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-028	latin_to_korean	proscript	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-029	latin_to_korean	rever	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-030	latin_to_korean	russeting	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-031	latin_to_korean	salability	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-032	latin_to_korean	sanctilogy	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-033	latin_to_korean	skittagetan	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-034	latin_to_korean	sphindid	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-035	latin_to_korean	stevia	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-036	latin_to_korean	thymelical	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-037	latin_to_korean	toon	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-038	latin_to_korean	trochidae	preserve	-	-	-	weakKoreanStructure
l2k-weakKoreanStructure-039	latin_to_korean	unromantic	preserve	-	-	-	weakKoreanStructure
